Price,Close,High,Low,Open,Volume,Daily_Return,MA_30,MA_7
Ticker,MS,MS,MS,MS,MS,,,
Date,,,,,,,,
2020-01-10,42.973487854003906,43.18749281166034,42.734791224247196,42.924104509803364,7686800,0.002881185035571443,41.54817593892415,42.45024217878069
2020-01-13,43.442649841308594,43.442649841308594,42.85825722426113,42.973489217500195,8334200,0.010917475186063452,41.63048502604167,42.53725487845285
2020-01-14,43.50850296020508,43.8295073000286,43.36034662800396,43.67312145596594,9602000,0.0015158633079943584,41.72322006225586,42.73244421822684
2020-01-15,43.5743522644043,43.5743522644043,42.89118968635942,43.19573188911018,11342500,0.0015134812673156528,41.82912432352702,42.95820617675781
2020-01-16,46.45515441894531,47.21239813361164,45.80491632180593,46.13415012570922,34590700,0.06611233454626309,42.05766855875651,43.60726983206613
2020-01-17,47.33585739135742,47.38524387253083,46.24115041395328,46.306995915681775,15403900,0.01895813249203071,42.295541000366214,44.30571910313198
2020-01-21,46.027156829833984,46.48808801505176,45.41807244419863,45.994235640761644,20833900,-0.02764712912461964,42.483479817708336,44.7595945085798
2020-01-22,45.97776412963867,46.5127702363872,45.96953147916656,46.24115242769497,10276800,-0.0010731208181709029,42.64974365234375,45.18877683367048
2020-01-23,45.706146240234375,45.80491921349353,45.105291448838315,45.450990575572554,10064500,-0.005907592388321503,42.81244099934896,45.51213346208845
2020-01-24,44.899513244628906,45.771988888351196,44.52912249305642,45.706140248144536,9752000,-0.017648239065393034,42.9463301340739,45.710849217006135
2020-01-27,43.71427536010742,44.19166554470521,43.50850302505878,43.623735030312154,10649100,-0.026397566451642263,43.0467472076416,45.73083823067801
2020-01-28,44.46328353881836,44.808979531290646,43.93650689895405,44.28220289142634,9232900,0.017134178081205542,43.138110097249346,45.446285247802734
2020-01-29,44.18343734741211,44.89952421553271,44.18343734741211,44.84190821119178,9027800,-0.006293871462775158,43.23249053955078,44.995939527239116
2020-01-30,44.58940124511719,44.622541655424406,43.412945123202284,43.58692753664995,8685900,0.009188146556208476,43.32723426818848,44.79054587227957
2020-01-31,43.29695129394531,44.14201274740883,42.99041041665589,44.075735090901276,11286900,-0.02898558659864059,43.37395757039388,44.40757261003767
2020-02-03,43.578636169433594,44.39884385393113,43.56206912650431,43.61177657617843,8375100,0.006505882448302414,43.436655298868814,44.10364259992327
2020-02-04,44.75509262084961,45.23561584783997,44.51482942713295,44.531399629504065,9375100,0.026996174153820718,43.5330810546875,44.08301108224051
2020-02-05,45.558719635009766,45.69127806322213,45.053339639811945,45.45101492444903,8237500,0.017956102134973007,43.660958480834964,44.34650312151228
2020-02-06,45.57529067993164,45.97296915997312,45.24389616048708,45.92325855985731,6976900,0.0003637293816558529,43.788565190633136,44.50536128452846
2020-02-07,45.591880798339844,45.6581616274513,45.08650053791858,45.24391592683635,7588000,0.00036401563568100315,43.9175479888916,44.70656749180385
2020-02-10,45.85698318481445,45.86526986603536,45.252185033846025,45.301895639842854,5115100,0.005814684146223215,44.04384396870931,44.887650626046316
2020-02-11,46.213226318359375,46.60261809422152,46.13866200299093,46.18008908076186,7120800,0.0077685689027815474,44.182563908894856,45.30426134381975
2020-02-12,46.54463195800781,46.94230732134069,46.48663783171611,46.57777236172959,7130000,0.007171229235660936,44.335897318522136,45.727975027901785
2020-02-13,46.33750915527344,46.38721976083451,45.98125771652619,46.22980442344587,5718400,-0.004449982608547454,44.47793706258138,45.95403453281948
2020-02-14,46.262935638427734,46.494912097418656,46.014388980874294,46.31264623411531,4579300,-0.0016093553193766708,44.59224955240885,46.05463681902204
2020-02-18,45.99782943725586,46.3623644087457,45.51730304896007,46.22980594998185,6897800,-0.0057304232321925275,44.72077128092448,46.11499949863979
2020-02-19,46.6523323059082,46.75175034728829,45.972969895666324,46.27951070017972,6075300,0.014228994643000092,44.87604840596517,46.266492571149556
